ID_REF	VALUE	ABS_CALL	Detection p-value	
261693_at	548.2	P	0.000244	
261746_at	24239.7	P	0.000244	
261742_at	295.5	P	0.005859	
261743_s_at	165.6	P	0.000244	
257481_at	12.3	A	0.780518	
261692_at	3391.3	P	0.000244	
261720_at	751.8	P	0.000244	
261696_at	587.8	P	0.001221	
261721_at	1754.7	P	0.000244	
261744_at	649.2	P	0.000244	
261745_at	124.5	A	0.067627	
261722_at	1607.8	P	0.000244	
261695_at	4125	P	0.000244	
264781_at	1180.8	P	0.000244	
264799_at	2331.4	P	0.000244	
264802_at	708.4	P	0.000244	
264779_at	1005.3	P	0.001221	
264803_at	646.4	P	0.000244	
264804_at	90.8	A	0.149658	
264805_at	166.9	P	0.001221	
264806_at	291.7	P	0.000732	
264792_at	344.6	P	0.000244	
264777_at	84.7	A	0.19458	
264811_at	3090.9	P	0.000244	
264783_at	911	P	0.01416	
264793_at	466.7	P	0.000732	
264794_at	20.7	A	0.466064	
264795_at	149.1	A	0.111572	
264796_at	450.6	P	0.000244	
264807_at	403.4	P	0.000244	
264797_at	112	M	0.056152	
264780_at	186.2	P	0.00293	
264798_at	100.5	A	0.171387	
264810_at	707.5	P	0.000244	
264808_at	398.9	P	0.005859	
264778_at	289.2	P	0.000732	
264800_at	178	P	0.008057	
264782_at	228.7	P	0.00293	
264809_at	4059	P	0.000244	
264801_at	243.9	P	0.000732	
264646_at	6.3	A	0.80542	
264651_at	1554.3	P	0.000244	
264654_s_at	311.7	P	0.000244	
264652_at	414.4	P	0.000244	
264624_at	4059.4	P	0.000244	
264645_at	168.3	P	0.00293	
264644_at	325.4	P	0.000732	
264650_at	807.6	P	0.000244	
264653_at	1283.3	P	0.000244	
264643_at	8.2	A	0.601074	
264623_at	108.7	A	0.149658	
264656_at	1094.5	P	0.000732	
264625_at	438.6	P	0.000732	
264642_at	13.9	A	0.696289	
264649_at	523.9	P	0.000244	
264655_at	2422.3	P	0.008057	
264648_at	125.1	P	0.000244	
264647_at	4.1	A	0.828613	
264657_at	357.6	P	0.000244	
264641_at	3115.7	P	0.000244	
264255_at	446.4	P	0.018555	
264254_at	668.9	P	0.000244	
264263_at	14.1	A	0.633789	
264266_at	287.7	P	0.000244	
264253_at	56.5	A	0.129639	
264252_at	87.2	A	0.27417	
264251_at	3.3	A	0.888428	
264262_at	2604.2	P	0.000244	
264260_at	4648.5	P	0.000244	
264258_at	25.3	A	0.398926	
264257_at	232.9	P	0.00415	
264261_at	418.6	P	0.000244	
264264_at	296	P	0.018555	
264256_at	667.9	P	0.000244	
264265_at	379.8	P	0.005859	
264259_at	91.5	A	0.095215	
263707_at	212.3	P	0.037598	
263709_at	10851.4	P	0.000244	
263708_at	131.5	P	0.000244	
263710_at	1310.2	P	0.000244	
263676_at	10740.5	P	0.000244	
264511_at	194.8	A	0.095215	
264555_at	10.1	A	0.919434	
264500_at	1.3	A	0.904785	
264505_at	145.7	P	0.023926	
264501_at	328	P	0.000244	
264502_at	20.2	A	0.696289	
264503_at	5.1	A	0.888428	
264507_at	301.3	P	0.000732	
264513_at	155	A	0.149658	
264504_at	1362.3	P	0.000244	
264549_at	83.3	A	0.111572	
264550_at	150.8	P	0.008057	
264551_at	87	A	0.129639	
264552_at	16.3	A	0.870361	
264553_s_at	331.9	P	0.000732	
264514_at	41.9	A	0.27417	
264554_at	96.9	A	0.19458	
264509_at	422.9	P	0.037598	
264510_at	114.7	A	0.129639	
264556_at	88.4	A	0.246094	
264557_at	22.1	A	0.753906	
264506_at	1749.2	P	0.000244	
264508_at	425.4	P	0.000244	
264512_at	131.3	A	0.219482	
264558_at	41.3	P	0.037598	
264559_at	7.3	A	0.466064	
264705_at	1669.9	P	0.000244	
264669_at	747.9	P	0.000244	
264670_s_at	9464.6	P	0.000244	
264664_at	272.8	P	0.000244	
264665_at	377.3	P	0.00293	
264666_at	137.9	A	0.149658	
264679_s_at	4755.6	P	0.000244	
264677_at	45.9	P	0.001953	
264706_at	30	A	0.219482	
264707_at	332.2	P	0.001953	
264708_at	179	P	0.000732	
264672_at	8615.7	P	0.000244	
264678_at	875	P	0.000244	
264709_at	623.8	P	0.000732	
264668_at	3551.7	P	0.000244	
264710_at	126.4	P	0.018555	
264673_at	1041.6	P	0.000244	
264711_at	317.3	P	0.046143	
264712_at	219.6	P	0.00293	
264674_at	716.8	P	0.000244	
264713_at	90.8	P	0.023926	
264675_at	525.5	P	0.000732	
264686_at	680.5	P	0.000244	
264687_at	1049.3	P	0.000732	
264676_at	552.8	P	0.000244	
264688_at	113.1	A	0.111572	
264689_at	785.1	P	0.000244	
264658_at	281.5	P	0.000732	
264671_at	588	P	0.000244	
264659_at	16	A	0.696289	
264660_at	305.5	P	0.018555	
264661_at	3.9	A	0.633789	
264662_at	115.5	P	0.008057	
264663_at	995.6	P	0.000244	
264667_s_at	793.3	P	0.000244	
264518_at	50.4	P	0.000732	
264519_at	96.4	P	0.000244	
264520_at	57.7	A	0.27417	
264521_at	355.8	P	0.046143	
264523_at	815	P	0.000244	
264522_at	118	P	0.023926	
264525_at	335.6	P	0.037598	
264524_at	195.6	P	0.000244	
264515_at	766.8	P	0.000244	
264516_at	212.3	P	0.008057	
257417_at	43.2	A	0.567627	
264517_at	130.6	M	0.056152	
264526_at	358.5	P	0.000244	
264467_at	241.7	P	0.001221	
264463_at	348.7	P	0.000244	
264459_at	166.1	A	0.080566	
264460_at	397	P	0.00415	
264407_at	436.1	P	0.000244	
264462_at	2619.3	P	0.000244	
264405_at	193.3	P	0.023926	
264465_at	316.3	P	0.030273	
264408_at	198.3	P	0.018555	
264450_s_at	92.9	P	0.00415	
264451_s_at	29.8	A	0.398926	
